inventory_q,glft_blind,yaware_hjb
-60,3.799620038e-07,0
-59,9.04909509e-07,0
-58,2.144785521e-06,0
-57,4.744525547e-06,0
-56,7.809219078e-06,0
-55,1.357864214e-05,0
-54,2.326767323e-05,0
-53,3.219178082e-05,0
-52,5.129987001e-05,0
-51,7.805219478e-05,0
-50,0.0001208729127,0
-49,0.0001811618838,0
-48,0.000246060394,0
-47,0.000347510249,0
-46,0.0004558494151,0
-45,0.0006035746425,0
-44,0.0007948655134,0
-43,0.001015363464,0
-42,0.001285866413,0
-41,0.00160290471,0
-40,0.001942310769,0
-39,0.00235119988,0
-38,0.002813383662,0
-37,0.003318818118,0
-36,0.003841805819,0
-35,0.004398240176,0
-34,0.004986951305,0
-33,0.005632036796,0
-32,0.006218623138,0
-31,0.006926977302,0
-30,0.007584446555,0
-29,0.008299905009,0
-28,0.008951074893,0
-27,0.009618063194,0
-26,0.01024685031,0
-25,0.01093674633,0
-24,0.01152457254,0
-23,0.01212281272,8.99910009e-08
-22,0.01270322468,6.099390061e-07
-21,0.01324889011,3.739626037e-06
-20,0.01373348665,1.663333667e-05
-19,0.01424437056,5.595940406e-05
-18,0.01469534047,0.0001815218478
-17,0.01511577342,0.0005265873413
-16,0.01550509949,0.001287406259
-15,0.01591520348,0.002691330867
-14,0.01624361564,0.00517849715
-13,0.01652947705,0.00885660434
-12,0.01680654435,0.01357839216
-11,0.0170529947,0.01920258474
-10,0.01730579442,0.02513131187
-9,0.01747466253,0.03091451355
-8,0.01767045795,0.03611488351
-7,0.01783442656,0.04042260274
-6,0.01799730027,0.04385058994
-5,0.01810390461,0.04645472453
-4,0.01820969903,0.04830975402
-3,0.01832662234,0.04969356064
-2,0.01839215078,0.05058972603
-1,0.01850178982,0.05106233377
0,0.01872351765,0.05137541246
1,0.01852854715,0.0510120038
2,0.01844047595,0.0505590291
3,0.01834393061,0.04963742126
4,0.01824848515,0.04835215978
5,0.01812316268,0.04658829617
6,0.01797019298,0.0439830367
7,0.0178659634,0.04049586541
8,0.01768487651,0.03614964004
9,0.01753789121,0.03085914909
10,0.01733390161,0.02516953805
11,0.01713521148,0.01918414159
12,0.01686253875,0.01360985401
13,0.01657151285,0.008787271273
14,0.0162579592,0.005231706829
15,0.0159430007,0.00276410359
16,0.01554362064,0.00130789921
17,0.01518348165,0.0005433856614
18,0.01471217878,0.0001918708129
19,0.01426686331,5.728927107e-05
20,0.01383041196,1.366863314e-05
21,0.01328617138,2.864713529e-06
22,0.01272020798,3.99960004e-07
23,0.01216264874,3.499650035e-08
24,0.01154560544,0
25,0.01091242876,0
26,0.01029085091,0
27,0.009616413359,0
28,0.008955774423,0
29,0.008298310169,0
30,0.007607849215,0
31,0.006934841516,0
32,0.006313838616,0
33,0.005628492151,0
34,0.004998605139,0
35,0.004372032797,0
36,0.003795280472,0
37,0.003280771923,0
38,0.002790580942,0
39,0.002338316168,0
40,0.001953034697,0
41,0.001582381762,0
42,0.001297345265,0
43,0.001022207779,0
44,0.0008086991301,0
45,0.000603739626,0
46,0.0004538346165,0
47,0.0003429857014,0
48,0.00025289971,0
49,0.0001822767723,0
50,0.0001227777222,0
51,8.441655834e-05,0
52,5.250474953e-05,0
53,3.471152885e-05,0
54,2.388761124e-05,0
55,1.319368063e-05,0
56,7.564243576e-06,0
57,4.95450455e-06,0
58,3.109689031e-06,0
59,1.219878012e-06,0
60,1.459854015e-06,0
